Namespace(arch_decoder='c1_bilinear', arch_encoder='resnet34_dilated8', batch_size=1, ckpt='./ckpt', fc_dim=512, id='Grayscale2-resnet34_dilated8-c1_bilinear-ngpus1-batchSize8-imgSize384-segSize384-lr_encoder0.001-lr_decoder0.01-epoch5-decay0.0001', imgSize=-1, list_val='./data/Jingbo_gray_l_val.txt', num_class=150, num_val=-1, result='./result', root_img='./data/ADEChallengeData2016/images', root_seg='./data/ADEChallengeData2016/annotations', segSize=-1, suffix='_best.pth', visualize=0)
Loading weights for net_encoder
Loading weights for net_decoder
# samples: 200
[2017-12-28 03:53:08] iter 0, loss: 0.963299870491, accuracy: 0.751256691031
[2017-12-28 03:53:08] iter 1, loss: 0.979976892471, accuracy: 0.71451623419
[2017-12-28 03:53:09] iter 2, loss: 1.0484701395, accuracy: 0.63508396342
[2017-12-28 03:53:11] iter 3, loss: 0.459358841181, accuracy: 0.897613727446
[2017-12-28 03:53:13] iter 4, loss: 0.876785755157, accuracy: 0.670444493103
[2017-12-28 03:53:14] iter 5, loss: 0.727809667587, accuracy: 0.806821647235
[2017-12-28 03:53:14] iter 6, loss: 0.338074356318, accuracy: 0.947985264393
[2017-12-28 03:53:16] iter 7, loss: 0.683745265007, accuracy: 0.801591720242
[2017-12-28 03:53:17] iter 8, loss: 0.378304123878, accuracy: 0.914914703493
[2017-12-28 03:53:19] iter 9, loss: 0.3870870471, accuracy: 0.88188992346
[2017-12-28 03:53:21] iter 10, loss: 0.784581303596, accuracy: 0.779800847692
[2017-12-28 03:53:23] iter 11, loss: 0.584784328938, accuracy: 0.824775879585
[2017-12-28 03:53:25] iter 12, loss: 0.737067520618, accuracy: 0.794462068471
[2017-12-28 03:53:27] iter 13, loss: 0.695160984993, accuracy: 0.888389934697
[2017-12-28 03:53:28] iter 14, loss: 1.71088910103, accuracy: 0.598328322121
[2017-12-28 03:53:29] iter 15, loss: 1.29161643982, accuracy: 0.61475234842
[2017-12-28 03:53:29] iter 16, loss: 0.666143238544, accuracy: 0.785499812336
[2017-12-28 03:53:31] iter 17, loss: 0.820630669594, accuracy: 0.792859647242
[2017-12-28 03:53:32] iter 18, loss: 0.381825000048, accuracy: 0.8861640115
[2017-12-28 03:53:34] iter 19, loss: 0.922331750393, accuracy: 0.760241230334
[2017-12-28 03:53:34] iter 20, loss: 1.15573036671, accuracy: 0.658896111962
[2017-12-28 03:53:35] iter 21, loss: 0.91420763731, accuracy: 0.68672075084
[2017-12-28 03:53:37] iter 22, loss: 1.76652061939, accuracy: 0.470393060107
[2017-12-28 03:53:37] iter 23, loss: 0.840383410454, accuracy: 0.853532780685
[2017-12-28 03:53:39] iter 24, loss: 0.571891129017, accuracy: 0.829578503021
[2017-12-28 03:53:41] iter 25, loss: 0.908283293247, accuracy: 0.717889494582
[2017-12-28 03:53:42] iter 26, loss: 1.47003233433, accuracy: 0.579283162951
[2017-12-28 03:53:44] iter 27, loss: 2.24922990799, accuracy: 0.43136876933
[2017-12-28 03:53:46] iter 28, loss: 0.394371658564, accuracy: 0.865889930463
[2017-12-28 03:53:46] iter 29, loss: 2.39575314522, accuracy: 0.485170864716
[2017-12-28 03:53:47] iter 30, loss: 1.92640352249, accuracy: 0.317726956694
[2017-12-28 03:53:47] iter 31, loss: 1.08255255222, accuracy: 0.614712195122
[2017-12-28 03:53:48] iter 32, loss: 0.330668866634, accuracy: 0.871232849153
[2017-12-28 03:53:49] iter 33, loss: 1.58416748047, accuracy: 0.539889706858
[2017-12-28 03:53:51] iter 34, loss: 0.302824705839, accuracy: 0.915665666386
[2017-12-28 03:53:54] iter 35, loss: 0.619672477245, accuracy: 0.806203695913
[2017-12-28 03:53:54] iter 36, loss: 0.739127337933, accuracy: 0.797323301923
[2017-12-28 03:53:56] iter 37, loss: 0.517865240574, accuracy: 0.863142026489
[2017-12-28 03:53:58] iter 38, loss: 0.661531209946, accuracy: 0.806968055097
[2017-12-28 03:54:00] iter 39, loss: 0.618969261646, accuracy: 0.799716344449
[2017-12-28 03:54:00] iter 40, loss: 0.689571619034, accuracy: 0.748088988526
